	exon_num	gene	chr	start	finish	is_TRK	strand
0	0	NTRK1	1	156860865	156861146	False	+
1	1	NTRK1	1	156864354	156864428	False	+
2	2	NTRK1	1	156864728	156864799	False	+
3	3	NTRK1	1	156866910	156866978	False	+
4	4	NTRK1	1	156868104	156868249	False	+
5	5	NTRK1	1	156868505	156868647	False	+
6	6	NTRK1	1	156871623	156871755	False	+
7	7	NTRK1	1	156873633	156873959	False	+
8	8	NTRK1	1	156874383	156874400	False	+
9	9	NTRK1	1	156874571	156874626	False	+
10	10	NTRK1	1	156874906	156875008	False	+
11	11	NTRK1	1	156875520	156875666	False	+
12	12	NTRK1	1	156876080	156876210	True	+
13	13	NTRK1	1	156876400	156876572	True	+
14	14	NTRK1	1	156879122	156879362	True	+
15	15	NTRK1	1	156879999	156880157	True	+
16	16	NTRK1	1	156881457	156881850	True	+
17	0	NTRK2	9	84669729	84669888	False	+
18	1	NTRK2	9	84670377	84670960	False	+
19	2	NTRK2	9	84702159	84702233	False	+
20	3	NTRK2	9	84702348	84702419	False	+
21	4	NTRK2	9	84707844	84707912	False	+
22	5	NTRK2	9	84710637	84710791	False	+
23	6	NTRK2	9	84723573	84723709	False	+
24	7	NTRK2	9	84724224	84724356	False	+
25	8	NTRK2	9	84727654	84727959	False	+
26	9	NTRK2	9	84741892	84741927	False	+
27	10	NTRK2	9	84744973	84745073	False	+
28	11	NTRK2	9	84751986	84752085	False	+
29	12	NTRK2	9	84861040	84861087	False	+
30	13	NTRK2	9	84867243	84867431	False	+
31	14	NTRK2	9	84934162	84934292	True	+
32	15	NTRK2	9	84948462	84948634	True	+
33	16	NTRK2	9	84955283	84955517	True	+
34	17	NTRK2	9	85020206	85020364	True	+
35	18	NTRK2	9	85021252	85027054	True	+
36	0	NTRK3	15	88256644	88256739	False	-
37	1	NTRK3	15	88256284	88256486	False	-
38	2	NTRK3	15	88255906	88256168	False	-
39	3	NTRK3	15	88184225	88184299	False	-
40	4	NTRK3	15	88183418	88183489	False	-
41	5	NTRK3	15	88147335	88147403	False	-
42	6	NTRK3	15	88137404	88137561	False	-
43	7	NTRK3	15	88136467	88136609	False	-
44	8	NTRK3	15	88135899	88136040	False	-
45	9	NTRK3	15	88135101	88135397	False	-
46	10	NTRK3	15	88128711	88128734	False	-
47	11	NTRK3	15	88127162	88127226	False	-
48	12	NTRK3	15	88126271	88126373	False	-
49	13	NTRK3	15	88032857	88033045	False	-
50	14	NTRK3	15	87940623	87940753	True	-
51	15	NTRK3	15	87933012	87933184	True	-
52	16	NTRK3	15	87929191	87929434	True	-
53	17	NTRK3	15	87885694	87885735	True	-
54	18	NTRK3	15	87880270	87880428	True	-
55	19	NTRK3	15	87859751	87877120	True	-
56	0	FGFR1	8	38467981	38468635	False	-
57	1	FGFR1	8	38457356	38457534	False	-
58	2	FGFR1	8	38429682	38429948	False	-
59	3	FGFR1	8	38428346	38428435	False	-
60	4	FGFR1	8	38427921	38428093	False	-
61	5	FGFR1	8	38426122	38426245	False	-
62	6	FGFR1	8	38424509	38424699	False	-
63	7	FGFR1	8	38421797	38421941	False	-
64	8	FGFR1	8	38419533	38419735	False	-
65	9	FGFR1	8	38418228	38418373	False	-
66	10	FGFR1	8	38417870	38417991	True	-
67	11	FGFR1	8	38417306	38417416	True	-
68	12	FGFR1	8	38415870	38416060	True	-
69	13	FGFR1	8	38414779	38414901	True	-
70	14	FGFR1	8	38414559	38414629	True	-
71	15	FGFR1	8	38414152	38414289	True	-
72	16	FGFR1	8	38413918	38414023	True	-
73	17	FGFR1	8	38411143	38413804	True	-
74	0	FGFR2	10	121597962	121598444	False	-
75	1	FGFR2	10	121593709	121593967	False	-
76	2	FGFR2	10	121565438	121565704	False	-
77	3	FGFR2	10	121564502	121564579	False	-
78	4	FGFR2	10	121551290	121551459	False	-
79	5	FGFR2	10	121538592	121538715	False	-
80	6	FGFR2	10	121519979	121520169	False	-
81	7	FGFR2	10	121517319	121517463	False	-
82	8	FGFR2	10	121515117	121515319	False	-
83	9	FGFR2	10	121503790	121503941	False	-
84	10	FGFR2	10	121500826	121500947	True	-
85	11	FGFR2	10	121498495	121498605	True	-
86	12	FGFR2	10	121496532	121496722	True	-
87	13	FGFR2	10	121487991	121488113	True	-
88	14	FGFR2	10	121487354	121487424	True	-
89	15	FGFR2	10	121485395	121485532	True	-
90	16	FGFR2	10	121483698	121483803	True	-
91	17	FGFR2	10	121478332	121480021	True	-
92	0	FGFR3	4	1793293	1793465	False	+
93	1	FGFR3	4	1793833	1794043	False	+
94	2	FGFR3	4	1799254	1799523	False	+
95	3	FGFR3	4	1799747	1799812	False	+
96	4	FGFR3	4	1801367	1801536	False	+
97	5	FGFR3	4	1801620	1801743	False	+
98	6	FGFR3	4	1801835	1802025	False	+
99	7	FGFR3	4	1803692	1803836	False	+
100	8	FGFR3	4	1804330	1804520	False	+
101	9	FGFR3	4	1804824	1804969	False	+
102	10	FGFR3	4	1805355	1805476	True	+
103	11	FGFR3	4	1805559	1805669	True	+
104	12	FGFR3	4	1805750	1805940	True	+
105	13	FGFR3	4	1806051	1806173	True	+
106	14	FGFR3	4	1806257	1806327	True	+
107	15	FGFR3	4	1806546	1806683	True	+
108	16	FGFR3	4	1806829	1806934	True	+
109	17	FGFR3	4	1807116	1808867	True	+
110	0	FLT1	13	28494780	28495128	False	-
111	1	FLT1	13	28467521	28467617	False	-
112	2	FLT1	13	28466903	28467129	False	-
113	3	FLT1	13	28438221	28438345	False	-
114	4	FLT1	13	28434058	28434220	False	-
115	5	FLT1	13	28433819	28433955	False	-
116	6	FLT1	13	28431136	28431310	False	-
117	7	FLT1	13	28430050	28430167	False	-
118	8	FLT1	13	28427752	28427921	False	-
119	9	FLT1	13	28427159	28427318	False	-
120	10	FLT1	13	28405780	28405894	False	-
121	11	FLT1	13	28396960	28397068	False	-
122	12	FLT1	13	28389796	28390104	False	-
123	13	FLT1	13	28384885	28385031	False	-
124	14	FLT1	13	28357554	28357685	False	-
125	15	FLT1	13	28345445	28345551	False	-
126	16	FLT1	13	28339168	28339300	True	-
127	17	FLT1	13	28334025	28334129	True	-
128	18	FLT1	13	28329615	28329728	True	-
129	19	FLT1	13	28327462	28327550	True	-
130	20	FLT1	13	28322790	28322946	True	-
131	21	FLT1	13	28322262	28322359	True	-
132	22	FLT1	13	28321463	28321585	True	-
133	23	FLT1	13	28319423	28319534	True	-
134	24	FLT1	13	28317498	28317597	True	-
135	25	FLT1	13	28311993	28312098	True	-
136	26	FLT1	13	28311590	28311732	False	-
137	27	FLT1	13	28308843	28308927	False	-
138	28	FLT1	13	28306678	28306772	False	-
139	29	FLT1	13	28300346	28303368	False	-
140	0	FLT4	5	180649488	180649600	False	-
141	1	FLT4	5	180631682	180631778	False	-
142	2	FLT4	5	180630555	180630799	False	-
143	3	FLT4	5	180630225	180630337	False	-
144	4	FLT4	5	180629943	180630105	False	-
145	5	FLT4	5	180629696	180629835	False	-
146	6	FLT4	5	180629259	180629427	False	-
